Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,class
-0.004968,-0.003689,0.002927,-0.001054,-0.003773,0.00018,-0.013246,-0.005649,Z
0.00506,-0.002905,0.006605,0.000275,0.007449,0.002964,0.002815,-0.006198,P
-0.007865,0.010794,-0.000949,-0.003506,-0.00301,-0.01308,0.002791,0.002124,S
-0.000668,-0.002081,-0.000526,0.004216,-0.000569,-0.003501,0.014114,0.008403,H
-0.00238,-0.001488,-0.001217,0.0041,0.005718,0.003141,-0.002215,0.010313,H
-0.003968,0.013096,0.001707,0.000826,0.008494,0.002233,0.001366,-0.011708,F
0.000939,0.013566,-0.009239,0.002309,-0.005346,0.00404,0.000818,0.004652,N
-0.004157,-0.008624,0.002385,0.011234,-0.001438,-0.010253,0.002015,-0.013178,R
-0.000971,0.010651,-0.00585,0.014155,0.00467,-0.002025,0.000303,-0.00046,M
-0.011188,-0.006564,0.007498,0.000973,-0.005767,-0.002407,0.002497,-0.004967,D
0.006731,0.001301,0.000426,0.001364,-0.009235,0.002069,-0.004907,0.010606,V
0.000403,0.000856,-0.000856,-0.000428,-0.011391,0.00576,0.00086,0.001267,A
-0.000491,0.006791,0.00965,0.002092,-0.007135,-0.000458,0.001427,-0.005491,K
-0.005256,0.004787,-0.000421,-0.002986,-0.00303,-0.003802,0.000622,-0.003645,D
-0.001306,0.008352,-0.000712,0.004633,0.005418,-0.007494,-0.003071,0.007292,S
-0.001493,0.011654,-0.00378,0.004524,0.01103,-0.008938,0.007326,0.004149,H
0.005405,-0.008972,-0.010798,-0.009255,0.002333,0.000477,-0.014488,0.004019,E
-0.005135,-0.00529,0.000187,-0.000902,-0.006057,0.001917,-0.013596,-0.003916,Z
0.000656,-0.002726,0.00033,0.002522,-0.000925,-0.010761,0.004622,0.00356,O
0.014948,-0.002125,0.000244,0.003405,0.007032,-0.002305,-0.000549,-0.000143,Q
-0.001217,-0.003017,-0.007719,-0.014466,-0.016365,0.00077,0.003554,0.012741,Q
-0.026409,-0.003718,-0.010639,-0.016111,0.011974,0.011107,0.0103,0.010029,L
0.002469,-0.0009,0.009277,0.009744,-0.001211,0.000986,-0.004618,0.002159,V
-0.002781,-0.006019,0.002092,-0.003972,-0.005633,-0.007255,-0.006421,-0.002591,X
0.009668,0.001948,0.002874,-0.000587,0.024621,-0.000414,0.01783,0.004519,V
0.000755,0.004866,-0.015662,0.017738,0.01131,-0.00925,0.005367,-0.006477,M
-0.004824,0.001557,0.004838,0.001999,0.017332,-0.000605,-0.00997,0.003981,Y
-0.006035,-0.000115,0.003511,-0.002491,-0.002272,0.001182,0.00231,-0.004647,D
-0.001065,0.005638,0.001735,-0.007945,-0.002939,0.000146,0.001,-0.003536,E
-0.004604,0.002257,-0.005408,-0.004895,-0.001674,-0.005618,0.014114,-0.007518,N
-0.004168,-0.00364,-0.012289,-0.001381,-0.006731,0.010097,0.001837,0.003891,A
-0.00957,-0.002988,0.006458,-0.002214,0.003255,-0.00978,0.001762,0.001483,D
