K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,class
24.248711,12.124356,12.124356,29.444864,-25.980762,17.320508,-25.980762,5.196152,-17.320508,-29.444864,0,-1.732051,13.856406,Z
39.837169,13.856406,27.712813,41.569219,-46.765372,10.392305,-22.51666,8.660254,-8.660254,-36.373067,10.392305,-10.392305,12.124356,P
43.30127,17.320508,8.660254,45.033321,-53.693575,34.641016,-32.908965,12.124356,-19.052559,-43.30127,6.928203,-15.588457,19.052559,S
43.30127,-6.928203,31.176915,36.373067,-48.497423,-3.464102,-20.78461,12.124356,-12.124356,-45.033321,12.124356,-39.837169,15.588457,H
32.908965,12.124356,22.51666,41.569219,-39.837169,19.052559,-31.176915,8.660254,-24.248711,-45.033321,1.732051,-13.856406,13.856406,H
22.51666,10.392305,19.052559,29.444864,-38.105118,22.51666,-31.176915,8.660254,-20.78461,-38.105118,6.928203,-12.124356,12.124356,F
32.908965,15.588457,27.712813,41.569219,-51.961524,20.78461,-31.176915,13.856406,-25.980762,-58.889727,10.392305,-24.248711,13.856406,N
22.51666,-5.196152,25.980762,32.908965,-17.320508,-0,-15.588457,0,-3.464102,-13.856406,5.196152,-8.660254,13.856406,R
29.444864,15.588457,31.176915,41.569219,-51.961524,20.78461,-27.712813,10.392305,-25.980762,-51.961524,6.928203,-22.51666,8.660254,M
24.248711,-8.660254,17.320508,27.712813,-17.320508,-3.464102,-15.588457,1.732051,-5.196152,-17.320508,1.732051,-13.856406,12.124356,D
22.51666,5.196152,32.908965,34.641016,-36.373067,0,-15.588457,8.660254,-6.928203,-53.693575,13.856406,-20.78461,10.392305,V
38.105118,17.320508,22.51666,38.105118,-53.693575,32.908965,-29.444864,13.856406,-17.320508,-41.569219,0,-19.052559,31.176915,A
38.105118,19.052559,22.51666,43.30127,-51.961524,25.980762,-20.78461,8.660254,-5.196152,-38.105118,8.660254,-8.660254,13.856406,K
31.176915,12.124356,17.320508,27.712813,-43.30127,20.78461,-24.248711,10.392305,-17.320508,-39.837169,8.660254,-17.320508,19.052559,D
45.033321,24.248711,19.052559,41.569219,-57.157677,32.908965,-32.908965,13.856406,-25.980762,-53.693575,10.392305,-15.588457,13.856406,S
43.30127,20.78461,20.78461,45.033321,-64.08588,39.837169,-34.641016,13.856406,-27.712813,-50.229473,8.660254,-20.78461,19.052559,H
43.30127,10.392305,19.052559,45.033321,-36.373067,-8.660254,-20.78461,12.124356,-10.392305,-34.641016,12.124356,-10.392305,8.660254,E
25.980762,12.124356,12.124356,31.176915,-25.980762,17.320508,-27.712813,5.196152,-19.052559,-31.176915,0,-1.732051,13.856406,Z
38.105118,3.464102,24.248711,36.373067,-41.569219,8.660254,-22.51666,8.660254,-13.856406,-41.569219,12.124356,-22.51666,15.588457,O
38.105118,8.660254,36.373067,39.837169,-45.033321,5.196152,-19.052559,12.124356,-10.392305,-38.105118,13.856406,-19.052559,17.320508,Q
50.229473,8.660254,19.052559,39.837169,-51.961524,3.464102,-22.51666,15.588457,-13.856406,-51.961524,13.856406,-29.444864,20.78461,Q
22.51666,3.464102,15.588457,29.444864,-36.373067,-10.392305,-5.196152,8.660254,8.660254,-25.980762,10.392305,-17.320508,13.856406,L
12.124356,-5.196152,31.176915,31.176915,-17.320508,-1.732051,-15.588457,1.732051,-5.196152,-32.908965,5.196152,-12.124356,6.928203,V
22.51666,5.196152,17.320508,32.908965,-20.78461,6.928203,-15.588457,3.464102,-5.196152,-22.51666,5.196152,-3.464102,17.320508,X
50.229473,17.320508,34.641016,46.765372,-65.817931,22.51666,-29.444864,13.856406,-25.980762,-48.497423,12.124356,-24.248711,19.052559,V
34.641016,19.052559,36.373067,38.105118,-58.889727,24.248711,-27.712813,12.124356,-34.641016,-48.497423,8.660254,-27.712813,17.320508,M
20.78461,12.124356,17.320508,25.980762,-29.444864,13.856406,-25.980762,6.928203,-20.78461,-39.837169,5.196152,-6.928203,6.928203,Y
25.980762,6.928203,17.320508,31.176915,-34.641016,20.78461,-24.248711,6.928203,-13.856406,-27.712813,0,-12.124356,22.51666,D
34.641016,15.588457,19.052559,39.837169,-50.229473,15.588457,-20.78461,10.392305,-8.660254,-41.569219,10.392305,-13.856406,13.856406,E
25.980762,8.660254,22.51666,29.444864,-39.837169,25.980762,-27.712813,8.660254,-24.248711,-34.641016,3.464102,-20.78461,32.908965,N
32.908965,17.320508,27.712813,38.105118,-46.765372,17.320508,-24.248711,12.124356,-15.588457,-43.30127,5.196152,-17.320508,25.980762,A
27.712813,1.732051,13.856406,27.712813,-29.444864,10.392305,-19.052559,5.196152,-10.392305,-27.712813,5.196152,-13.856406,15.588457,D
46.765372,20.78461,25.980762,34.641016,-43.30127,10.392305,-20.78461,10.392305,-13.856406,-39.837169,13.856406,-8.660254,20.78461,Z
19.052559,3.464102,29.444864,34.641016,-29.444864,5.196152,-25.980762,5.196152,-22.51666,-41.569219,3.464102,-19.052559,8.660254,N
36.373067,19.052559,25.980762,36.373067,-50.229473,8.660254,-20.78461,13.856406,-12.124356,-53.693575,13.856406,-19.052559,15.588457,X
